product,price,rating,rating_count,url
"Apple iPhone 11 (64GB) - Black (includes EarPods, power adapter)","49,900",4.6,"35,253",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09428753TWVX6M2BR6YH&url=%2FApple-iPhone-11-64GB-Black%2Fdp%2FB07XVMDRZY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1632861756%26sr%3D8-1-spons%26psc%3D1&qualifier=1632861756&id=2230370545679293&widgetName=sp_atf
New Apple iPhone 12 Mini (64GB) - Black,"56,999",4.5,"4,973",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03484323OU8AU1KV1AFV&url=%2FNew-Apple-iPhone-Mini-64GB%2Fdp%2FB08L5VDDQ5%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmobile%26qid%3D1632861756%26sr%3D8-2-spons%26psc%3D1&qualifier=1632861756&id=2230370545679293&widgetName=sp_atf
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",4.2,"82,976",https://www.amazon.in//Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=ice_ac_b_dpb?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-3&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",4.2,"96,382",https://www.amazon.in//Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_4?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-4&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera | Alexa Hands-Free Capable,"11,499",4.2,"79,876",https://www.amazon.in//Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_5?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-5&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",4.3,"19,798",https://www.amazon.in//Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_6?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-6&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","12,990",4.2,"31,459",https://www.amazon.in//Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_7?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-7&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,299",4.1,"5,851",https://www.amazon.in//realme-Storage-Additional-Exchange-Offers/dp/B096RWS54N/ref=sr_1_8?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-8&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",4.2,"96,382",https://www.amazon.in//Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_9?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-9&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",4.2,"82,976",https://www.amazon.in//Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_10?dchild=1&keywords=mobile&qid=1632861756&qsid=259-6435827-9319727&sr=8-10&sres=B08696XB4B%2CB08697N43N%2CB089MS7D8F%2CB08697N43G%2CB08444SXZ6%2CB096RWS54N%2CB086985T6R%2CB086978F2L%2CB08XGDN3TZ%2CB08XJG8MQM%2CB096RT57F9%2CB07HG8S7KP%2CB08444S68L%2CB097RDVDL2%2CB09BBH1BDT%2CB098NGDNMT&srpt=CELLULAR_PHONE
